from_stop_id,to_stop_id,transfer_type,min_transfer_time
7013382,3893381,2,56
7013382,3893380,2,31
4843807,3893387,2,81
4843807,3893385,2,18
3812968,3893357,2,101
3812968,3893356,2,99
3893341,4459243,2,21
7931915,3893390,2,27
7921105,3893361,2,19
1889,3893338,2,186
1889,3893337,2,198
7986314,3893349,2,107
5138171,3893346,2,58
8007367,3893337,2,82
8007367,3893338,2,84
4471832,3893390,2,36
5138171,3893345,2,22
3893341,4036754,2,21
3893341,4036755,2,97
8321699,3893355,2,90
7931915,3893389,2,106
7946189,3893366,2,87
3893342,4036657,2,95
3893335,4035039,2,41
2528,3893371,2,234
2528,3893370,2,237
3893335,4035038,2,41
3893398,6591463,2,57
3893337,4036751,2,18
6217416,3893336,2,92
7275548,3893335,2,99
3893337,4036750,2,12
7275548,3893336,2,99
1672,3893394,2,276
2528,3893369,2,242
4843408,3893380,2,31
1672,3893395,2,261
8033004,3893351,2,22
7946159,3893368,2,20
6217416,3893335,2,92
4843408,3893381,2,56
7931895,3893392,2,90
3343767,3893342,2,228
3343767,3893341,2,222
1729,7170698,2,272
4843411,3893385,2,18
3343767,3893344,2,233
6251761,3893368,2,20
4843411,3893387,2,81
3343767,3893343,2,216
7946203,3893368,2,20
8321667,3893355,2,90
3893335,4459239,2,99
3893336,4035039,2,41
7991701,3893335,2,99
3893338,2286,2,186
3893336,4035038,2,41
7991701,3893336,2,99
3893335,4459240,2,92
3893385,3813535,2,59
3893385,3813534,2,106
6673111,3893356,2,49
7921063,3893399,2,87
6673111,3893357,2,61
3893337,7913220,2,56
3893337,7913221,2,42
7932239,3893336,2,41
7932239,3893335,2,41
7931972,3893336,2,99
3343767,3893339,2,249
7946201,3893365,2,34
7931972,3893335,2,99
7946201,3893364,2,49
7931900,3893371,2,20
4008202,3893342,2,97
7920967,3893373,2,19
3893393,7931807,2,54
7931495,3893365,2,18
4471737,3893377,2,19
3343767,3893340,2,256
4036989,3893352,2,79
7931894,3893366,2,47
3893336,4036748,2,9
6217415,3893336,2,41
3893336,4036747,2,92
1166841,3893336,2,187
6217415,3893335,2,41
1166841,3893335,2,187
1648,8418736,2,234
3893336,4036749,2,99
7946298,3893349,2,92
1166840,3893335,2,187
1166840,3893336,2,187
3893338,4459241,2,18
7946354,3893371,2,65
7920963,8418736,2,102
7946310,3893337,2,18
7986271,3893351,2,22
7946202,3893392,2,87
7931895,3893366,2,76
7275211,3893357,2,66
7176245,3893341,2,74
7946354,3893370,2,76
7275211,3893356,2,46
7176245,3893342,2,60
3893392,7931555,2,70
1836,3893375,2,195
7991680,3893336,2,99
7991680,3893335,2,99
7920970,3893374,2,20
3893343,4459244,2,62
7931382,3893337,2,18
2345,3893351,2,199
7921067,3893341,2,99
3893340,4459242,2,18
7921067,3893342,2,81
3893387,3813534,2,85
3893387,3813535,2,72
3893338,1890,2,186
7899742,3893351,2,94
3893335,3749691,2,105
3893335,3749690,2,92
4471741,3893390,2,98
4843410,3893382,2,45
7991694,8418736,2,98
7920952,3893347,2,26
7921066,3893343,2,24
8007439,3893338,2,29
8007439,3893337,2,48
1866,3893356,2,208
1866,3893357,2,219
4471839,3893370,2,20
7931496,3893366,2,69
1836,3893374,2,216
7921101,3893394,2,71
7946301,3893345,2,62
7945919,3893394,2,71
1793,3893369,2,242
3893336,8357914,2,92
7376288,3893335,2,6
4471739,3893383,2,45
7899977,3893399,2,87
4471836,3893380,2,67
7931894,3893392,2,81
7376288,3893336,2,6
7946356,8418736,2,23
7931493,3893361,2,19
7931486,3893362,2,54
7931330,3893342,2,24
7931330,3893341,2,21
7946299,3893347,2,26
7946305,3893344,2,24
4472773,3893336,2,92
2333,3893357,2,219
4472773,3893335,2,92
2333,3893356,2,208
7946311,3893338,2,18
3893337,4036827,2,82
7931327,3893335,2,41
7931327,3893336,2,41
5138167,3893339,2,81
7921064,3893345,2,62
7900222,3893342,2,24
7900222,3893341,2,21
7946161,8418736,2,23
3893336,4473191,2,41
3893336,4473192,2,93
3893336,4473190,2,41
7920963,3893369,2,107
2224141,3893339,2,45
7922514,3893396,2,56
7932277,3893337,2,56
2314,3893339,2,249
7931487,3893361,2,38
7946204,8418736,2,23
5138170,3893346,2,62
1977,7170698,2,275
3893335,1724,2,187
7900286,3893343,2,24
3893399,1773,2,233
7931487,3893360,2,54
2285,3893337,2,198
7932238,3893336,2,9
7932238,3893335,2,9
6251760,3893392,2,87
7921095,3893348,2,58
2285,3893338,2,186
7921095,3893347,2,31
7275444,3893357,2,66
7275444,3893356,2,46
7176250,3893336,2,9
7176250,3893335,2,9
2472,7170698,2,272
8418736,3926308,2,77
5138223,3893342,2,81
5138223,3893341,2,99
7932235,3893338,2,84
