service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3027649,0,0,0,0,0,0,0,20191105,20191219
3027648,0,0,0,0,0,0,0,20191104,20191230
3027647,0,0,0,0,0,0,0,20191103,20191229
3048594,0,0,0,0,0,0,0,20191031,20191227
3048592,0,0,0,0,0,0,0,20191029,20191231
3048593,0,0,0,0,0,0,0,20191101,20191228
13048592,0,0,0,0,0,0,0,20191030,20200101
13048591,0,0,0,0,0,0,0,20191227,20191227
3048591,0,0,0,0,0,0,0,20191226,20191226
13048593,0,0,0,0,0,0,0,20191102,20191229
13027647,0,0,0,0,0,0,0,20191104,20191230
13048594,0,0,0,0,0,0,0,20191101,20191228
13027648,0,0,0,0,0,0,0,20191105,20191231
13027649,0,0,0,0,0,0,0,20191106,20191220
13027651,0,0,0,0,0,0,0,20191109,20191221
13027650,0,0,0,0,0,0,0,20191110,20191222
3027650,0,0,0,0,0,0,0,20191109,20191221
3027651,0,0,0,0,0,0,0,20191108,20191220
