service_id,date,exception_type
13080381,20191224,1
13080381,20191225,1
13080381,20191227,1
13080381,20191228,1
13080381,20191231,1
13080381,20200101,1
13080380,20191203,1
13080380,20191204,1
13080380,20191205,1
13080380,20191206,1
13080380,20191207,1
13080380,20191210,1
13080380,20191211,1
13080380,20191212,1
13080380,20191213,1
13080380,20191214,1
13080380,20191217,1
13080380,20191218,1
13080380,20191219,1
13080380,20191220,1
13080380,20191221,1
13080382,20191208,1
13080382,20191215,1
13080382,20191222,1
13080382,20191229,1
3027754,20191102,1
3027754,20191109,1
3027754,20191116,1
3027754,20191123,1
3027754,20191130,1
3080378,20191202,1
3080378,20191203,1
3080378,20191204,1
3080378,20191205,1
3080378,20191206,1
3080378,20191209,1
3080378,20191210,1
3080378,20191211,1
3080378,20191212,1
3080378,20191213,1
3080378,20191216,1
3080378,20191217,1
3080378,20191218,1
3080378,20191219,1
3080378,20191220,1
3027758,20191102,1
3027758,20191109,1
3027758,20191116,1
3027758,20191123,1
3027758,20191130,1
3027757,20191029,1
3027757,20191030,1
3027757,20191031,1
3080379,20191201,1
3080379,20191208,1
3080379,20191215,1
3080379,20191222,1
3080379,20191225,1
3080379,20191229,1
13027757,20191030,1
13027757,20191031,1
13027757,20191101,1
13027758,20191103,1
13027758,20191110,1
13027758,20191117,1
13027758,20191124,1
13027758,20191201,1
3080382,20191207,1
3080382,20191214,1
3080382,20191221,1
3080382,20191228,1
3080381,20191223,1
3080381,20191224,1
3080381,20191226,1
3080381,20191227,1
3080381,20191230,1
3080381,20191231,1
13080379,20191202,1
13080379,20191209,1
13080379,20191216,1
13080379,20191223,1
13080379,20191226,1
13080379,20191230,1
3045397,20191101,1
3045397,20191103,1
3045397,20191110,1
3045397,20191111,1
3045397,20191117,1
3045397,20191124,1
13045398,20191105,1
13045398,20191106,1
13045398,20191107,1
13045398,20191108,1
13045398,20191109,1
13045398,20191113,1
13045398,20191114,1
13045398,20191115,1
13045398,20191116,1
13045398,20191119,1
13045398,20191120,1
13045398,20191121,1
13045398,20191122,1
13045398,20191123,1
13045398,20191126,1
13045398,20191127,1
13045398,20191128,1
13045398,20191129,1
13045398,20191130,1
3045398,20191104,1
3045398,20191105,1
3045398,20191106,1
3045398,20191107,1
3045398,20191108,1
3045398,20191112,1
3045398,20191113,1
3045398,20191114,1
3045398,20191115,1
3045398,20191118,1
3045398,20191119,1
3045398,20191120,1
3045398,20191121,1
3045398,20191122,1
3045398,20191125,1
3045398,20191126,1
3045398,20191127,1
3045398,20191128,1
3045398,20191129,1
3080380,20191202,1
3080380,20191203,1
3080380,20191204,1
3080380,20191205,1
3080380,20191206,1
3080380,20191209,1
3080380,20191210,1
3080380,20191211,1
3080380,20191212,1
3080380,20191213,1
3080380,20191216,1
3080380,20191217,1
3080380,20191218,1
3080380,20191219,1
3080380,20191220,1
3045396,20191104,1
3045396,20191105,1
3045396,20191106,1
3045396,20191107,1
3045396,20191108,1
3045396,20191112,1
3045396,20191113,1
3045396,20191114,1
3045396,20191115,1
3045396,20191118,1
3045396,20191119,1
3045396,20191120,1
3045396,20191121,1
3045396,20191122,1
3045396,20191125,1
3045396,20191126,1
3045396,20191127,1
3045396,20191128,1
3045396,20191129,1
13045397,20191102,1
13045397,20191104,1
13045397,20191111,1
13045397,20191112,1
13045397,20191118,1
13045397,20191125,1
