service_id,date,exception_type
13107596,20191224,1
13107596,20191227,1
13107596,20191231,1
13107596,20200103,1
13107600,20191208,1
13107600,20191215,1
13107600,20191222,1
13107600,20200112,1
13107600,20200119,1
13107600,20200126,1
13107595,20191125,1
13107595,20191202,1
13107595,20191209,1
13107595,20191216,1
13107595,20191223,1
13107595,20191226,1
13107595,20191230,1
13107595,20200102,1
13107595,20200106,1
13107595,20200113,1
13107595,20200120,1
13107595,20200127,1
3107601,20191228,1
3107601,20200104,1
3107600,20191207,1
3107600,20191214,1
3107600,20191221,1
3107600,20200111,1
3107600,20200118,1
3107600,20200125,1
13107604,20191207,1
13107604,20191214,1
13107604,20191221,1
13107604,20200111,1
13107604,20200118,1
13107604,20200125,1
13107604,20200201,1
13107603,20191123,1
13107603,20191130,1
13107602,20191225,1
13107602,20191228,1
13107602,20200101,1
13107602,20200104,1
13107601,20191229,1
13107601,20200105,1
3107605,20191124,1
3107605,20191201,1
3107605,20191208,1
3107605,20191215,1
3107605,20191222,1
3107605,20191225,1
3107605,20191229,1
3107605,20200101,1
3107605,20200105,1
3107605,20200112,1
3107605,20200119,1
3107605,20200126,1
3107598,20191202,1
3107598,20191203,1
3107598,20191204,1
3107598,20191205,1
3107598,20191209,1
3107598,20191210,1
3107598,20191211,1
3107598,20191212,1
3107598,20191216,1
3107598,20191217,1
3107598,20191218,1
3107598,20191219,1
3107598,20200106,1
3107598,20200107,1
3107598,20200108,1
3107598,20200109,1
3107598,20200113,1
3107598,20200114,1
3107598,20200115,1
3107598,20200116,1
3107598,20200120,1
3107598,20200121,1
3107598,20200122,1
3107598,20200123,1
3107598,20200127,1
3107598,20200128,1
3107598,20200129,1
3107598,20200130,1
3107599,20191123,1
3107599,20191130,1
3107604,20191206,1
3107604,20191213,1
3107604,20191220,1
3107604,20200110,1
3107604,20200117,1
3107604,20200124,1
3107604,20200131,1
3107603,20191122,1
3107603,20191129,1
3107602,20191224,1
3107602,20191227,1
3107602,20191231,1
3107602,20200103,1
3107595,20191124,1
3107595,20191201,1
3107595,20191208,1
3107595,20191215,1
3107595,20191222,1
3107595,20191225,1
3107595,20191229,1
3107595,20200101,1
3107595,20200105,1
3107595,20200112,1
3107595,20200119,1
3107595,20200126,1
3107596,20191223,1
3107596,20191226,1
3107596,20191230,1
3107596,20200102,1
3107597,20191125,1
3107597,20191126,1
3107597,20191127,1
3107597,20191128,1
13107599,20191124,1
13107599,20191201,1
13107597,20191126,1
13107597,20191127,1
13107597,20191128,1
13107597,20191129,1
13107598,20191203,1
13107598,20191204,1
13107598,20191205,1
13107598,20191206,1
13107598,20191210,1
13107598,20191211,1
13107598,20191212,1
13107598,20191213,1
13107598,20191217,1
13107598,20191218,1
13107598,20191219,1
13107598,20191220,1
13107598,20200107,1
13107598,20200108,1
13107598,20200109,1
13107598,20200110,1
13107598,20200114,1
13107598,20200115,1
13107598,20200116,1
13107598,20200117,1
13107598,20200121,1
13107598,20200122,1
13107598,20200123,1
13107598,20200124,1
13107598,20200128,1
13107598,20200129,1
13107598,20200130,1
13107598,20200131,1
