service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2940363,0,0,0,0,0,0,0,20191223,20191230
2940362,0,0,0,0,0,0,0,20191125,20191219
12940359,0,0,0,0,0,0,0,20191125,20191230
2940366,0,0,0,0,0,0,0,20191123,20191228
13108344,0,0,0,0,0,0,0,20200111,20200521
3108339,0,0,0,0,0,0,0,20200412,20200508
13108343,0,0,0,0,0,0,0,20200105,20200517
13108342,0,0,0,0,0,0,0,20200103,20200417
13108341,0,0,0,0,0,0,0,20200107,20200520
13108340,0,0,0,0,0,0,0,20200102,20200518
3108342,0,0,0,0,0,0,0,20200102,20200416
3108343,0,0,0,0,0,0,0,20200104,20200516
3108344,0,0,0,0,0,0,0,20200110,20200520
3108345,0,0,0,0,0,0,0,20200103,20200417
13108345,0,0,0,0,0,0,0,20200104,20200418
12940370,0,0,0,0,0,0,0,20191225,20200101
2940359,0,0,0,0,0,0,0,20191124,20191229
3108340,0,0,0,0,0,0,0,20200101,20200517
3108341,0,0,0,0,0,0,0,20200106,20200519
12940366,0,0,0,0,0,0,0,20191124,20191229
12940369,0,0,0,0,0,0,0,20191123,20191221
2940370,0,0,0,0,0,0,0,20191224,20191231
13108339,0,0,0,0,0,0,0,20200413,20200509
2940369,0,0,0,0,0,0,0,20191122,20191220
12940363,0,0,0,0,0,0,0,20191224,20191231
12940362,0,0,0,0,0,0,0,20191126,20191220
