route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
2166171,2940373,1029403731650719,,10,0,
2166171,2940376,1029403761650719,,10,0,
2166171,2940379,1029403791650719,,10,0,
2166171,2940373,1129403731650719,,11,0,
2166171,2940376,1129403761650719,,11,0,
2166171,2940379,1129403791650719,,11,0,
2166171,2940373,1229403731650719,,12,0,
2166171,2940376,1229403761650719,,12,0,
2166171,2940379,1229403791650719,,12,0,
2166171,2940373,129403731650719,,1,0,
2166171,2940376,129403761650719,,1,0,
2166171,2940379,129403791650719,,1,0,
2166171,2940373,1329403731650719,,13,0,
2166171,2940376,1329403761650719,,13,0,
2166171,2940379,1329403791650719,,13,0,
2166171,2940373,1429403731650719,,14,0,
2166171,2940376,1429403761650719,,14,0,
2166171,2940379,1429403791650719,,14,0,
2166171,2940373,1529403731650719,,15,0,
2166171,2940376,1529403761650719,,15,0,
2166171,2940379,1529403791650719,,15,0,
2166171,2940373,1629403731650719,,16,0,
2166171,2940376,1629403761650719,,16,0,
2166171,2940379,1629403791650719,,16,0,
2166171,2940373,1729403731650719,,17,0,
2166171,2940376,1729403761650719,,17,0,
2166171,2940379,1729403791650719,,17,0,
2166171,2940373,1829403731650719,,18,0,
2166171,2940376,1829403761650719,,18,0,
2166171,2940379,1829403791650719,,18,0,
2166171,2940373,1929403731650719,,19,0,
2166171,2940376,1929403761650719,,19,0,
2166171,2940379,1929403791650719,,19,0,
2166171,2940373,2029403731650719,,20,0,
2166171,2940376,2029403761650719,,20,0,
2166171,2940379,2029403791650719,,20,0,
2166171,2940373,2129403731650719,,21,0,
2166171,2940376,2129403761650719,,21,0,
2166171,2940379,2129403791650719,,21,0,
2166171,2940373,2229403731650719,,22,0,
2166171,2940376,2229403761650719,,22,0,
2166171,2940379,2229403791650719,,22,0,
2166171,2940373,229403731650719,,2,0,
2166171,2940376,229403761650719,,2,0,
2166171,2940379,229403791650719,,2,0,
2166171,2940373,2329403731650719,,23,0,
2166171,2940376,2329403761650719,,23,0,
2166171,2940379,2329403791650719,,23,0,
2166171,2940373,2429403731650719,,24,0,
2166171,2940376,2429403761650719,,24,0,
2166171,2940379,2429403791650719,,24,0,
2166171,2940376,2529403761650719,,25,0,
2166171,2940379,2529403791650719,,25,0,
2166171,2940376,2629403761650719,,26,0,
2166171,2940379,2629403791650719,,26,0,
2166171,2940376,2729403761650719,,27,0,
2166171,2940379,2729403791650719,,27,0,
2166171,2940376,2829403761650719,,28,0,
2166171,2940379,2829403791650719,,28,0,
2166171,2940376,2929403761650719,,29,0,
2166171,2940379,2929403791650719,,29,0,
2166171,2940376,3029403761650719,,30,0,
2166171,2940379,3029403791650719,,30,0,
2166171,2940376,3129403761650719,,31,0,
2166171,2940379,3129403791650719,,31,0,
2166171,2940376,3229403761650719,,32,0,
2166171,2940379,3229403791650719,,32,0,
2166171,2940373,329403731650719,,3,0,
2166171,2940376,329403761650719,,3,0,
2166171,2940379,329403791650719,,3,0,
2166171,2940376,3329403761650719,,33,0,
2166171,2940379,3329403791650719,,33,0,
2166171,2940376,3429403761650719,,34,0,
2166171,2940379,3429403791650719,,34,0,
2166171,2940376,3529403761650719,,35,0,
2166171,2940379,3529403791650719,,35,0,
2166171,2940376,3629403761650719,,36,0,
2166171,2940379,3629403791650719,,36,0,
2166171,2940376,3729403761650719,,37,0,
2166171,2940376,3829403761650719,,38,0,
2166171,2940376,3929403761650719,,39,0,
2166171,2940376,4029403761650719,,40,0,
