service_id,date,exception_type
13107638,20200111,1
13107638,20200118,1
13107638,20200125,1
13107638,20200201,1
13107626,20191224,1
13107626,20191227,1
13107626,20191231,1
13107626,20200103,1
13107625,20191125,1
13107625,20191202,1
13107625,20191209,1
13107625,20191216,1
13107625,20191223,1
13107625,20191226,1
13107625,20191230,1
13107625,20200102,1
13107625,20200106,1
13107625,20200113,1
13107625,20200120,1
13107625,20200127,1
13045296,20191126,1
13045296,20191127,1
13045296,20191128,1
13045296,20191129,1
13045296,20191203,1
13045296,20191204,1
13045296,20191205,1
13045296,20191206,1
13045296,20191210,1
13045296,20191211,1
13045296,20191212,1
13045296,20191213,1
13045296,20191217,1
13045296,20191218,1
13045296,20191219,1
13045296,20191220,1
3005941,20191122,1
3005941,20191129,1
3005941,20191206,1
3005941,20191213,1
3005941,20191220,1
3045296,20191125,1
3045296,20191126,1
3045296,20191127,1
3045296,20191128,1
3045296,20191202,1
3045296,20191203,1
3045296,20191204,1
3045296,20191205,1
3045296,20191209,1
3045296,20191210,1
3045296,20191211,1
3045296,20191212,1
3045296,20191216,1
3045296,20191217,1
3045296,20191218,1
3045296,20191219,1
13107629,20191225,1
13107629,20191228,1
13107629,20200101,1
13107629,20200104,1
13107628,20191124,1
13107628,20191201,1
13107628,20191208,1
13107628,20191215,1
13107628,20191222,1
13107628,20191229,1
13107628,20200105,1
13107628,20200112,1
13107628,20200119,1
13107628,20200126,1
13005941,20191123,1
13005941,20191130,1
13005941,20191207,1
13005941,20191214,1
13005941,20191221,1
13107627,20200107,1
13107627,20200108,1
13107627,20200109,1
13107627,20200110,1
13107627,20200114,1
13107627,20200115,1
13107627,20200116,1
13107627,20200117,1
13107627,20200121,1
13107627,20200122,1
13107627,20200123,1
13107627,20200124,1
13107627,20200128,1
13107627,20200129,1
13107627,20200130,1
13107627,20200131,1
3107629,20191224,1
3107629,20191227,1
3107629,20191231,1
3107629,20200103,1
3107628,20191123,1
3107628,20191130,1
3107628,20191207,1
3107628,20191214,1
3107628,20191221,1
3107628,20191228,1
3107628,20200104,1
3107628,20200111,1
3107628,20200118,1
3107628,20200125,1
3107627,20200106,1
3107627,20200107,1
3107627,20200108,1
3107627,20200109,1
3107627,20200113,1
3107627,20200114,1
3107627,20200115,1
3107627,20200116,1
3107627,20200120,1
3107627,20200121,1
3107627,20200122,1
3107627,20200123,1
3107627,20200127,1
3107627,20200128,1
3107627,20200129,1
3107627,20200130,1
3107626,20191223,1
3107626,20191226,1
3107626,20191230,1
3107626,20200102,1
3107638,20200110,1
3107638,20200117,1
3107638,20200124,1
3107638,20200131,1
3107625,20191124,1
3107625,20191201,1
3107625,20191208,1
3107625,20191215,1
3107625,20191222,1
3107625,20191225,1
3107625,20191229,1
3107625,20200101,1
3107625,20200105,1
3107625,20200112,1
3107625,20200119,1
3107625,20200126,1
