service_id,date,exception_type
3107667,20191123,1
3107667,20191130,1
3107667,20191207,1
3107667,20191214,1
3107667,20191221,1
3107667,20200111,1
3107667,20200118,1
3107667,20200125,1
3107666,20191223,1
3107666,20191226,1
3107666,20191230,1
3107666,20200102,1
3015117,20191122,1
3015117,20191129,1
3015117,20191206,1
3015117,20191213,1
3015117,20191220,1
3107665,20200106,1
3107665,20200107,1
3107665,20200108,1
3107665,20200109,1
3107665,20200113,1
3107665,20200114,1
3107665,20200115,1
3107665,20200116,1
3107665,20200120,1
3107665,20200121,1
3107665,20200122,1
3107665,20200123,1
3107665,20200127,1
3107665,20200128,1
3107665,20200129,1
3107665,20200130,1
3045318,20191125,1
3045318,20191126,1
3045318,20191127,1
3045318,20191128,1
3045318,20191202,1
3045318,20191203,1
3045318,20191204,1
3045318,20191205,1
3045318,20191209,1
3045318,20191210,1
3045318,20191211,1
3045318,20191212,1
3045318,20191216,1
3045318,20191217,1
3045318,20191218,1
3045318,20191219,1
3107670,20191224,1
3107670,20191227,1
3107670,20191231,1
3107670,20200103,1
3107668,20191228,1
3107668,20200104,1
3107669,20200110,1
3107669,20200117,1
3107669,20200124,1
3107669,20200131,1
